"model","training_size","success_ratio"
prob,250,0.42441025641
knn|k=1|norm=1,250,0.812923076923
knn|k=5|norm=1,250,0.8
knn|k=10|norm=1,250,0.768307692308
knn|k=1|norm=2,250,0.827282051282
knn|k=5|norm=2,250,0.808307692308
knn|k=10|norm=2,250,0.785641025641
knn|k=1|norm=-1,250,0.775076923077
knn|k=5|norm=-1,250,0.769846153846
knn|k=10|norm=-1,250,0.754358974359
prob,250,0.294769230769
knn|k=1|norm=1,250,0.813641025641
knn|k=5|norm=1,250,0.791692307692
knn|k=10|norm=1,250,0.758153846154
knn|k=1|norm=2,250,0.833333333333
knn|k=5|norm=2,250,0.812615384615
knn|k=10|norm=2,250,0.785846153846
knn|k=1|norm=-1,250,0.788205128205
knn|k=5|norm=-1,250,0.778153846154
knn|k=10|norm=-1,250,0.751487179487
prob,250,0.210153846154
knn|k=1|norm=1,250,0.799897435897
knn|k=5|norm=1,250,0.784
knn|k=10|norm=1,250,0.758153846154
knn|k=1|norm=2,250,0.819692307692
knn|k=5|norm=2,250,0.804307692308
knn|k=10|norm=2,250,0.776102564103
knn|k=1|norm=-1,250,0.769948717949
knn|k=5|norm=-1,250,0.769538461538
knn|k=10|norm=-1,250,0.744
prob,250,0.202871794872
knn|k=1|norm=1,250,0.788205128205
knn|k=5|norm=1,250,0.761435897436
knn|k=10|norm=1,250,0.725435897436
knn|k=1|norm=2,250,0.806051282051
knn|k=5|norm=2,250,0.787282051282
knn|k=10|norm=2,250,0.756820512821
knn|k=1|norm=-1,250,0.765333333333
knn|k=5|norm=-1,250,0.753538461538
knn|k=10|norm=-1,250,0.729641025641
prob,250,0.412102564103
knn|k=1|norm=1,250,0.808102564103
knn|k=5|norm=1,250,0.797948717949
knn|k=10|norm=1,250,0.755487179487
knn|k=1|norm=2,250,0.829230769231
knn|k=5|norm=2,250,0.816923076923
knn|k=10|norm=2,250,0.780512820513
knn|k=1|norm=-1,250,0.781025641026
knn|k=5|norm=-1,250,0.786666666667
knn|k=10|norm=-1,250,0.756205128205
prob,250,0.335282051282
knn|k=1|norm=1,250,0.797333333333
knn|k=5|norm=1,250,0.772717948718
knn|k=10|norm=1,250,0.73241025641
knn|k=1|norm=2,250,0.818461538462
knn|k=5|norm=2,250,0.791487179487
knn|k=10|norm=2,250,0.768
knn|k=1|norm=-1,250,0.773538461538
knn|k=5|norm=-1,250,0.760717948718
knn|k=10|norm=-1,250,0.743487179487
prob,250,0.312205128205
knn|k=1|norm=1,250,0.798256410256
knn|k=5|norm=1,250,0.785743589744
knn|k=10|norm=1,250,0.751897435897
knn|k=1|norm=2,250,0.819179487179
knn|k=5|norm=2,250,0.810564102564
knn|k=10|norm=2,250,0.787384615385
knn|k=1|norm=-1,250,0.773641025641
knn|k=5|norm=-1,250,0.782051282051
knn|k=10|norm=-1,250,0.764923076923
prob,250,0.262871794872
knn|k=1|norm=1,250,0.792820512821
knn|k=5|norm=1,250,0.779179487179
knn|k=10|norm=1,250,0.740205128205
knn|k=1|norm=2,250,0.812615384615
knn|k=5|norm=2,250,0.801435897436
knn|k=10|norm=2,250,0.768512820513
knn|k=1|norm=-1,250,0.761641025641
knn|k=5|norm=-1,250,0.770153846154
knn|k=10|norm=-1,250,0.750769230769
prob,250,0.319487179487
knn|k=1|norm=1,250,0.798153846154
knn|k=5|norm=1,250,0.772307692308
knn|k=10|norm=1,250,0.725333333333
knn|k=1|norm=2,250,0.815692307692
knn|k=5|norm=2,250,0.798974358974
knn|k=10|norm=2,250,0.755076923077
knn|k=1|norm=-1,250,0.769846153846
knn|k=5|norm=-1,250,0.766051282051
knn|k=10|norm=-1,250,0.740717948718
prob,250,0.189435897436
knn|k=1|norm=1,250,0.797641025641
knn|k=5|norm=1,250,0.785230769231
knn|k=10|norm=1,250,0.754153846154
knn|k=1|norm=2,250,0.814666666667
knn|k=5|norm=2,250,0.807179487179
knn|k=10|norm=2,250,0.776102564103
knn|k=1|norm=-1,250,0.772615384615
knn|k=5|norm=-1,250,0.767076923077
knn|k=10|norm=-1,250,0.744820512821
prob,500,0.615052631579
knn|k=1|norm=1,500,0.856526315789
knn|k=5|norm=1,500,0.848210526316
knn|k=10|norm=1,500,0.831578947368
knn|k=1|norm=2,500,0.868947368421
knn|k=5|norm=2,500,0.863789473684
knn|k=10|norm=2,500,0.848210526316
knn|k=1|norm=-1,500,0.827052631579
knn|k=5|norm=-1,500,0.826947368421
knn|k=10|norm=-1,500,0.814210526316
prob,500,0.617578947368
knn|k=1|norm=1,500,0.844105263158
knn|k=5|norm=1,500,0.842526315789
knn|k=10|norm=1,500,0.817789473684
knn|k=1|norm=2,500,0.858210526316
knn|k=5|norm=2,500,0.851894736842
knn|k=10|norm=2,500,0.834
knn|k=1|norm=-1,500,0.816210526316
knn|k=5|norm=-1,500,0.818421052632
knn|k=10|norm=-1,500,0.803263157895
prob,500,0.630210526316
knn|k=1|norm=1,500,0.855894736842
knn|k=5|norm=1,500,0.857894736842
knn|k=10|norm=1,500,0.844210526316
knn|k=1|norm=2,500,0.870842105263
knn|k=5|norm=2,500,0.869894736842
knn|k=10|norm=2,500,0.860947368421
knn|k=1|norm=-1,500,0.830421052632
knn|k=5|norm=-1,500,0.839578947368
knn|k=10|norm=-1,500,0.832
prob,500,0.607052631579
knn|k=1|norm=1,500,0.848631578947
knn|k=5|norm=1,500,0.843578947368
knn|k=10|norm=1,500,0.826947368421
knn|k=1|norm=2,500,0.861578947368
knn|k=5|norm=2,500,0.855684210526
knn|k=10|norm=2,500,0.841368421053
knn|k=1|norm=-1,500,0.818105263158
knn|k=5|norm=-1,500,0.823368421053
knn|k=10|norm=-1,500,0.814
prob,500,0.581157894737
knn|k=1|norm=1,500,0.846210526316
knn|k=5|norm=1,500,0.826210526316
knn|k=10|norm=1,500,0.792526315789
knn|k=1|norm=2,500,0.861473684211
knn|k=5|norm=2,500,0.837578947368
knn|k=10|norm=2,500,0.802736842105
knn|k=1|norm=-1,500,0.815684210526
knn|k=5|norm=-1,500,0.804210526316
knn|k=10|norm=-1,500,0.778315789474
prob,500,0.702631578947
knn|k=1|norm=1,500,0.847157894737
knn|k=5|norm=1,500,0.833684210526
knn|k=10|norm=1,500,0.811473684211
knn|k=1|norm=2,500,0.862631578947
knn|k=5|norm=2,500,0.853157894737
knn|k=10|norm=2,500,0.829263157895
knn|k=1|norm=-1,500,0.824210526316
knn|k=5|norm=-1,500,0.821368421053
knn|k=10|norm=-1,500,0.807052631579
prob,500,0.530210526316
knn|k=1|norm=1,500,0.859157894737
knn|k=5|norm=1,500,0.854315789474
knn|k=10|norm=1,500,0.839157894737
knn|k=1|norm=2,500,0.870105263158
knn|k=5|norm=2,500,0.866526315789
knn|k=10|norm=2,500,0.852947368421
knn|k=1|norm=-1,500,0.832421052632
knn|k=5|norm=-1,500,0.836947368421
knn|k=10|norm=-1,500,0.831789473684
prob,500,0.671157894737
knn|k=1|norm=1,500,0.85
knn|k=5|norm=1,500,0.849052631579
knn|k=10|norm=1,500,0.827052631579
knn|k=1|norm=2,500,0.861684210526
knn|k=5|norm=2,500,0.861684210526
knn|k=10|norm=2,500,0.841578947368
knn|k=1|norm=-1,500,0.822736842105
