"model","training_size","success_ratio"
prob,250,0.530769230769
knn|k=1|norm=1,250,0.799179487179
knn|k=5|norm=1,250,0.804
knn|k=10|norm=1,250,0.778974358974
knn|k=1|norm=2,250,0.817743589744
knn|k=5|norm=2,250,0.82041025641
knn|k=10|norm=2,250,0.788923076923
knn|k=1|norm=-1,250,0.772923076923
knn|k=5|norm=-1,250,0.769948717949
knn|k=10|norm=-1,250,0.741641025641
prob,250,0.477025641026
knn|k=1|norm=1,250,0.806666666667
knn|k=5|norm=1,250,0.794051282051
knn|k=10|norm=1,250,0.765128205128
knn|k=1|norm=2,250,0.826974358974
knn|k=5|norm=2,250,0.80041025641
knn|k=10|norm=2,250,0.770871794872
knn|k=1|norm=-1,250,0.769743589744
knn|k=5|norm=-1,250,0.759897435897
knn|k=10|norm=-1,250,0.735076923077
prob,250,0.447282051282
knn|k=1|norm=1,250,0.802051282051
knn|k=5|norm=1,250,0.792205128205
knn|k=10|norm=1,250,0.768205128205
knn|k=1|norm=2,250,0.813538461538
knn|k=5|norm=2,250,0.811179487179
knn|k=10|norm=2,250,0.782564102564
knn|k=1|norm=-1,250,0.764923076923
knn|k=5|norm=-1,250,0.764512820513
knn|k=10|norm=-1,250,0.742051282051
prob,250,0.467692307692
knn|k=1|norm=1,250,0.816820512821
knn|k=5|norm=1,250,0.816820512821
knn|k=10|norm=1,250,0.796307692308
knn|k=1|norm=2,250,0.832307692308
knn|k=5|norm=2,250,0.828512820513
knn|k=10|norm=2,250,0.810051282051
knn|k=1|norm=-1,250,0.785333333333
knn|k=5|norm=-1,250,0.792102564103
knn|k=10|norm=-1,250,0.769230769231
prob,250,0.426666666667
knn|k=1|norm=1,250,0.816717948718
knn|k=5|norm=1,250,0.814051282051
knn|k=10|norm=1,250,0.794153846154
knn|k=1|norm=2,250,0.832820512821
knn|k=5|norm=2,250,0.825025641026
knn|k=10|norm=2,250,0.800102564103
knn|k=1|norm=-1,250,0.788102564103
knn|k=5|norm=-1,250,0.782769230769
knn|k=10|norm=-1,250,0.765128205128
prob,250,0.589538461538
knn|k=1|norm=1,250,0.812512820513
knn|k=5|norm=1,250,0.801948717949
knn|k=10|norm=1,250,0.775487179487
knn|k=1|norm=2,250,0.822358974359
knn|k=5|norm=2,250,0.809743589744
knn|k=10|norm=2,250,0.78041025641
knn|k=1|norm=-1,250,0.77958974359
knn|k=5|norm=-1,250,0.768307692308
knn|k=10|norm=-1,250,0.742871794872
prob,250,0.451179487179
knn|k=1|norm=1,250,0.806564102564
knn|k=5|norm=1,250,0.804717948718
knn|k=10|norm=1,250,0.769025641026
knn|k=1|norm=2,250,0.821435897436
knn|k=5|norm=2,250,0.816307692308
knn|k=10|norm=2,250,0.780923076923
knn|k=1|norm=-1,250,0.778871794872
knn|k=5|norm=-1,250,0.774461538462
knn|k=10|norm=-1,250,0.753230769231
prob,250,0.472717948718
knn|k=1|norm=1,250,0.822461538462
knn|k=5|norm=1,250,0.818256410256
knn|k=10|norm=1,250,0.798769230769
knn|k=1|norm=2,250,0.832307692308
knn|k=5|norm=2,250,0.829128205128
knn|k=10|norm=2,250,0.807692307692
knn|k=1|norm=-1,250,0.781743589744
knn|k=5|norm=-1,250,0.780615384615
knn|k=10|norm=-1,250,0.761128205128
prob,250,0.35558974359
knn|k=1|norm=1,250,0.81641025641
knn|k=5|norm=1,250,0.816205128205
knn|k=10|norm=1,250,0.794358974359
knn|k=1|norm=2,250,0.831692307692
knn|k=5|norm=2,250,0.828307692308
knn|k=10|norm=2,250,0.805025641026
knn|k=1|norm=-1,250,0.779384615385
knn|k=5|norm=-1,250,0.788
knn|k=10|norm=-1,250,0.766871794872
prob,250,0.481641025641
knn|k=1|norm=1,250,0.806461538462
knn|k=5|norm=1,250,0.807282051282
knn|k=10|norm=1,250,0.787076923077
knn|k=1|norm=2,250,0.822769230769
knn|k=5|norm=2,250,0.817333333333
knn|k=10|norm=2,250,0.797128205128
knn|k=1|norm=-1,250,0.778461538462
knn|k=5|norm=-1,250,0.782051282051
knn|k=10|norm=-1,250,0.763076923077
prob,500,0.813473684211
knn|k=1|norm=1,500,0.859263157895
knn|k=5|norm=1,500,0.864947368421
knn|k=10|norm=1,500,0.853894736842
knn|k=1|norm=2,500,0.870210526316
knn|k=5|norm=2,500,0.871473684211
knn|k=10|norm=2,500,0.858736842105
knn|k=1|norm=-1,500,0.830947368421
knn|k=5|norm=-1,500,0.843894736842
knn|k=10|norm=-1,500,0.829789473684
prob,500,0.832631578947
knn|k=1|norm=1,500,0.857894736842
knn|k=5|norm=1,500,0.863684210526
knn|k=10|norm=1,500,0.851684210526
knn|k=1|norm=2,500,0.867157894737
knn|k=5|norm=2,500,0.872736842105
knn|k=10|norm=2,500,0.863473684211
knn|k=1|norm=-1,500,0.834105263158
knn|k=5|norm=-1,500,0.834947368421
knn|k=10|norm=-1,500,0.824736842105
prob,500,0.828842105263
knn|k=1|norm=1,500,0.851052631579
knn|k=5|norm=1,500,0.863157894737
knn|k=10|norm=1,500,0.85
knn|k=1|norm=2,500,0.860631578947
knn|k=5|norm=2,500,0.871473684211
knn|k=10|norm=2,500,0.857684210526
knn|k=1|norm=-1,500,0.819368421053
knn|k=5|norm=-1,500,0.833473684211
knn|k=10|norm=-1,500,0.82
prob,500,0.806421052632
knn|k=1|norm=1,500,0.852526315789
knn|k=5|norm=1,500,0.858105263158
knn|k=10|norm=1,500,0.846
knn|k=1|norm=2,500,0.860315789474
knn|k=5|norm=2,500,0.864
knn|k=10|norm=2,500,0.851263157895
knn|k=1|norm=-1,500,0.826631578947
knn|k=5|norm=-1,500,0.833052631579
knn|k=10|norm=-1,500,0.824842105263
prob,500,0.841052631579
knn|k=1|norm=1,500,0.847368421053
knn|k=5|norm=1,500,0.858631578947
knn|k=10|norm=1,500,0.836526315789
knn|k=1|norm=2,500,0.860210526316
knn|k=5|norm=2,500,0.867157894737
knn|k=10|norm=2,500,0.843894736842
knn|k=1|norm=-1,500,0.817684210526
knn|k=5|norm=-1,500,0.828421052632
knn|k=10|norm=-1,500,0.813684210526
prob,500,0.776526315789
knn|k=1|norm=1,500,0.867368421053
knn|k=5|norm=1,500,0.870210526316
knn|k=10|norm=1,500,0.855157894737
knn|k=1|norm=2,500,0.877894736842
knn|k=5|norm=2,500,0.875473684211
knn|k=10|norm=2,500,0.866421052632
knn|k=1|norm=-1,500,0.838842105263
knn|k=5|norm=-1,500,0.844315789474
knn|k=10|norm=-1,500,0.826947368421
prob,500,0.801052631579
knn|k=1|norm=1,500,0.857894736842
knn|k=5|norm=1,500,0.870947368421
knn|k=10|norm=1,500,0.863473684211
knn|k=1|norm=2,500,0.866947368421
knn|k=5|norm=2,500,0.873684210526
knn|k=10|norm=2,500,0.867157894737
knn|k=1|norm=-1,500,0.831263157895
knn|k=5|norm=-1,500,0.844
knn|k=10|norm=-1,500,0.836736842105
prob,500,0.793684210526
knn|k=1|norm=1,500,0.855368421053
knn|k=5|norm=1,500,0.857578947368
knn|k=10|norm=1,500,0.843473684211
knn|k=1|norm=2,500,0.863894736842
knn|k=5|norm=2,500,0.871473684211
knn|k=10|norm=2,500,0.853052631579
knn|k=1|norm=-1,500,0.820736842105
knn|k=5|norm=-1,500,0.833578947368
knn|k=10|norm=-1,500,0.818947368421
prob,500,0.835894736842
knn|k=1|norm=1,500,0.858315789474
knn|k=5|norm=1,500,0.867052631579
knn|k=10|norm=1,500,0.856
knn|k=1|norm=2,500,0.867684210526
knn|k=5|norm=2,500,0.876736842105
knn|k=10|norm=2,500,0.863052631579
knn|k=1|norm=-1,500,0.830105263158
knn|k=5|norm=-1,500,0.846105263158
knn|k=10|norm=-1,500,0.841473684211
prob,500,0.826736842105
knn|k=1|norm=1,500,0.857263157895
knn|k=5|norm=1,500,0.867052631579
knn|k=10|norm=1,500,0.856947368421
knn|k=1|norm=2,500,0.865578947368
knn|k=5|norm=2,500,0.875578947368
knn|k=10|norm=2,500,0.862736842105
knn|k=1|norm=-1,500,0.823894736842
knn|k=5|norm=-1,500,0.840210526316
knn|k=10|norm=-1,500,0.829894736842
prob,1000,0.865555555556
knn|k=1|norm=1,1000,0.887222222222
knn|k=5|norm=1,1000,0.890555555556
knn|k=10|norm=1,1000,0.877777777778
knn|k=1|norm=2,1000,0.897222222222
knn|k=5|norm=2,1000,0.898777777778
knn|k=10|norm=2,1000,0.886777777778
knn|k=1|norm=-1,1000,0.864222222222
knn|k=5|norm=-1,1000,0.870333333333
knn|k=10|norm=-1,1000,0.856222222222
prob,1000,0.892666666667
knn|k=1|norm=1,1000,0.882111111111
knn|k=5|norm=1,1000,0.890777777778
knn|k=10|norm=1,1000,0.886111111111
knn|k=1|norm=2,1000,0.890777777778
knn|k=5|norm=2,1000,0.894333333333
knn|k=10|norm=2,1000,0.889444444444
knn|k=1|norm=-1,1000,0.857888888889
knn|k=5|norm=-1,1000,0.871111111111
knn|k=10|norm=-1,1000,0.870333333333
prob,1000,0.892555555556
knn|k=1|norm=1,1000,0.885444444444
knn|k=5|norm=1,1000,0.886111111111
knn|k=10|norm=1,1000,0.882555555556
knn|k=1|norm=2,1000,0.892333333333
knn|k=5|norm=2,1000,0.894333333333
knn|k=10|norm=2,1000,0.883
knn|k=1|norm=-1,1000,0.859777777778
knn|k=5|norm=-1,1000,0.872666666667
knn|k=10|norm=-1,1000,0.864666666667
prob,1000,0.883111111111
knn|k=1|norm=1,1000,0.885444444444
knn|k=5|norm=1,1000,0.888666666667
knn|k=10|norm=1,1000,0.882666666667
knn|k=1|norm=2,1000,0.896
knn|k=5|norm=2,1000,0.891444444444
knn|k=10|norm=2,1000,0.886444444444
knn|k=1|norm=-1,1000,0.858666666667
knn|k=5|norm=-1,1000,0.868888888889
knn|k=10|norm=-1,1000,0.862555555556
prob,1000,0.894888888889
knn|k=1|norm=1,1000,0.888222222222
knn|k=5|norm=1,1000,0.896888888889
knn|k=10|norm=1,1000,0.889222222222
knn|k=1|norm=2,1000,0.893666666667
knn|k=5|norm=2,1000,0.903666666667
knn|k=10|norm=2,1000,0.895777777778
knn|k=1|norm=-1,1000,0.862222222222
knn|k=5|norm=-1,1000,0.875777777778
knn|k=10|norm=-1,1000,0.869666666667
prob,1000,0.892666666667
knn|k=1|norm=1,1000,0.892
knn|k=5|norm=1,1000,0.895555555556
knn|k=10|norm=1,1000,0.886444444444
knn|k=1|norm=2,1000,0.900888888889
knn|k=5|norm=2,1000,0.901
knn|k=10|norm=2,1000,0.891777777778
knn|k=1|norm=-1,1000,0.870222222222
knn|k=5|norm=-1,1000,0.877888888889
knn|k=10|norm=-1,1000,0.873111111111
prob,1000,0.869222222222
knn|k=1|norm=1,1000,0.888333333333
knn|k=5|norm=1,1000,0.896444444444
knn|k=10|norm=1,1000,0.886
knn|k=1|norm=2,1000,0.893666666667
knn|k=5|norm=2,1000,0.899777777778
knn|k=10|norm=2,1000,0.891222222222
knn|k=1|norm=-1,1000,0.858111111111
knn|k=5|norm=-1,1000,0.875555555556
knn|k=10|norm=-1,1000,0.865666666667
prob,1000,0.905777777778
knn|k=1|norm=1,1000,0.888777777778
knn|k=5|norm=1,1000,0.892666666667
knn|k=10|norm=1,1000,0.885444444444
knn|k=1|norm=2,1000,0.892333333333
knn|k=5|norm=2,1000,0.897222222222
knn|k=10|norm=2,1000,0.888555555556
knn|k=1|norm=-1,1000,0.864555555556
knn|k=5|norm=-1,1000,0.874444444444
knn|k=10|norm=-1,1000,0.867111111111
prob,1000,0.910222222222
knn|k=1|norm=1,1000,0.888888888889
knn|k=5|norm=1,1000,0.895111111111
knn|k=10|norm=1,1000,0.890111111111
knn|k=1|norm=2,1000,0.897222222222
knn|k=5|norm=2,1000,0.902444444444
knn|k=10|norm=2,1000,0.889666666667
knn|k=1|norm=-1,1000,0.864666666667
knn|k=5|norm=-1,1000,0.874666666667
knn|k=10|norm=-1,1000,0.866888888889
prob,1000,0.900111111111
knn|k=1|norm=1,1000,0.890222222222
knn|k=5|norm=1,1000,0.900111111111
knn|k=10|norm=1,1000,0.890777777778
knn|k=1|norm=2,1000,0.898333333333
knn|k=5|norm=2,1000,0.903666666667
knn|k=10|norm=2,1000,0.897666666667
knn|k=1|norm=-1,1000,0.866111111111
knn|k=5|norm=-1,1000,0.876111111111
knn|k=10|norm=-1,1000,0.873666666667
prob,2000,0.92425
knn|k=1|norm=1,2000,0.91025
knn|k=5|norm=1,2000,0.91375
knn|k=10|norm=1,2000,0.911875
knn|k=1|norm=2,2000,0.91575
knn|k=5|norm=2,2000,0.9195
knn|k=10|norm=2,2000,0.913875
knn|k=1|norm=-1,2000,0.888875
knn|k=5|norm=-1,2000,0.902875
knn|k=10|norm=-1,2000,0.8955
prob,2000,0.89925
knn|k=1|norm=1,2000,0.910375
knn|k=5|norm=1,2000,0.917375
knn|k=10|norm=1,2000,0.9115
knn|k=1|norm=2,2000,0.91525
knn|k=5|norm=2,2000,0.922875
knn|k=10|norm=2,2000,0.918375
knn|k=1|norm=-1,2000,0.893375
knn|k=5|norm=-1,2000,0.9065
knn|k=10|norm=-1,2000,0.8955
prob,2000,0.921875
knn|k=1|norm=1,2000,0.910375
knn|k=5|norm=1,2000,0.91825
knn|k=10|norm=1,2000,0.91375
knn|k=1|norm=2,2000,0.916375
knn|k=5|norm=2,2000,0.924
knn|k=10|norm=2,2000,0.918875
knn|k=1|norm=-1,2000,0.89475
knn|k=5|norm=-1,2000,0.904875
knn|k=10|norm=-1,2000,0.898375
prob,2000,0.915375
knn|k=1|norm=1,2000,0.909125
knn|k=5|norm=1,2000,0.92
knn|k=10|norm=1,2000,0.91575
knn|k=1|norm=2,2000,0.920875
knn|k=5|norm=2,2000,0.924
knn|k=10|norm=2,2000,0.916875
knn|k=1|norm=-1,2000,0.89325
knn|k=5|norm=-1,2000,0.901625
knn|k=10|norm=-1,2000,0.89525
prob,2000,0.91775
knn|k=1|norm=1,2000,0.911625
knn|k=5|norm=1,2000,0.91775
knn|k=10|norm=1,2000,0.911
knn|k=1|norm=2,2000,0.91625
knn|k=5|norm=2,2000,0.92375
knn|k=10|norm=2,2000,0.916625
knn|k=1|norm=-1,2000,0.886875
knn|k=5|norm=-1,2000,0.902375
knn|k=10|norm=-1,2000,0.8965
prob,2000,0.91725
knn|k=1|norm=1,2000,0.912875
knn|k=5|norm=1,2000,0.91975
knn|k=10|norm=1,2000,0.91425
